X,Y,Number,Letter,Angle,Distance
3314.213623046875,-1317.8548583984375,1,,-165.7042232224879,220.39304006159654
3856.566650390625,-2073.48876953125,2,,-22.292628506519133,322.7898970294764
740.00048828125,-608.991943359375,3,,-158.88211146259871,703.6289536787175
746.3623046875,-42.99305725097656,4,,10.981968146091017,767.6487775632371
-724.0447387695312,1618.9674072265625,5,,29.69970797495177,1001.5017732777344
-993.9166259765625,3790.888671875,6,,27.68189480956655,1208.8536135178124
-1783.8714599609375,4016.30078125,7,,-117.80501466388415,1304.7058387492514
-1785.4404296875,10539.7060546875,8,,118.5937331062827,1992.3452888744719
-1140.2919921875,10976.314453125,9,,-28.30519809467008,2076.504351889733
-711.50537109375,16759.564453125,10,,97.79649538436189,2669.5499715300793
-374.8269958496094,15840.400390625,11,,9.36772122115067,2769.8428141361096
975.87255859375,12421.1728515625,12,,-161.17004277640703,3155.6801661992336
2586.933349609375,5440.8330078125,13,,-21.168127295710576,3870.2652777777794
2435.436279296875,5153.82958984375,14,,157.077799192522,3907.526293551249
